Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(x) | 0:58 f(x_p_d)=   2.718673229 f(x_q)=   1.834701657 d=   0.883971572
P(y|x) 0:58 loss=   2.016066551, acc=   0.125000000
P(x) | 0:59 f(x_p_d)=   2.874286175 f(x_q)=   1.779235721 d=   1.095050454
P(y|x) 0:59 loss=   2.052047491, acc=   0.132812500
P(x) | 0:60 f(x_p_d)=   2.978348255 f(x_q)=   1.746874809 d=   1.231473446
P(y|x) 0:60 loss=   2.025185823, acc=   0.125000000
P(x) | 0:61 f(x_p_d)=   3.070517302 f(x_q)=   1.668534636 d=   1.401982665
P(y|x) 0:61 loss=   2.034317493, acc=   0.140625000
P(x) | 0:62 f(x_p_d)=   3.280625343 f(x_q)=   1.604642153 d=   1.675983191
P(y|x) 0:62 loss=   2.021806955, acc=   0.117187500
P(x) | 0:63 f(x_p_d)=   3.513785839 f(x_q)=   1.547602415 d=   1.966183424
P(y|x) 0:63 loss=   2.027889252, acc=   0.125000000
P(x) | 0:64 f(x_p_d)=   3.709421158 f(x_q)=   1.460903883 d=   2.248517275
P(y|x) 0:64 loss=   2.116273165, acc=   0.156250000
P(x) | 0:65 f(x_p_d)=   4.027425289 f(x_q)=   1.348559022 d=   2.678866386
P(y|x) 0:65 loss=   2.113718987, acc=   0.125000000
P(x) | 0:66 f(x_p_d)=   4.487423897 f(x_q)=   1.294503212 d=   3.192920685
P(y|x) 0:66 loss=   2.111650229, acc=   0.156250000
P(x) | 0:67 f(x_p_d)=   5.242657661 f(x_q)=   1.252035141 d=   3.990622520
P(y|x) 0:67 loss=   2.220128775, acc=   0.140625000
P(x) | 0:68 f(x_p_d)=   5.439712524 f(x_q)=   1.155947804 d=   4.283764839
P(y|x) 0:68 loss=   2.340352058, acc=   0.125000000
P(x) | 0:69 f(x_p_d)=   5.996256828 f(x_q)=   1.492456198 d=   4.503800392
P(y|x) 0:69 loss=   2.622012138, acc=   0.109375000
P(x) | 0:70 f(x_p_d)=   7.061459541 f(x_q)=   1.211825132 d=   5.849634171
P(y|x) 0:70 loss=   2.641883373, acc=   0.156250000
P(x) | 0:71 f(x_p_d)=   8.804744720 f(x_q)=   1.391809940 d=   7.412934780
P(y|x) 0:71 loss=   2.771580219, acc=   0.171875000
P(x) | 0:72 f(x_p_d)=   9.247047424 f(x_q)=   2.494965792 d=   6.752081871
P(y|x) 0:72 loss=   3.511311293, acc=   0.070312500
P(x) | 0:73 f(x_p_d)=  11.953153610 f(x_q)=   2.532963276 d=   9.420190811
P(y|x) 0:73 loss=   3.820793152, acc=   0.117187500
P(x) | 0:74 f(x_p_d)=  14.264293671 f(x_q)=   3.886836529 d=  10.377456665
P(y|x) 0:74 loss=   3.835639238, acc=   0.132812500
P(x) | 0:75 f(x_p_d)=  15.875232697 f(x_q)=   4.754870892 d=  11.120361328
P(y|x) 0:75 loss=   4.297418118, acc=   0.125000000
P(x) | 0:76 f(x_p_d)=  19.100170135 f(x_q)=   8.112297058 d=  10.987873077
P(y|x) 0:76 loss=   4.782329082, acc=   0.140625000
P(x) | 0:77 f(x_p_d)=  18.974048615 f(x_q)=  10.598140717 d=   8.375907898
P(y|x) 0:77 loss=   4.712330818, acc=   0.125000000
P(x) | 0:78 f(x_p_d)=  22.263507843 f(x_q)=  20.683448792 d=   1.580059052
P(y|x) 0:78 loss=   4.356252670, acc=   0.101562500
P(x) | 0:79 f(x_p_d)=  25.196382523 f(x_q)=  13.100238800 d=  12.096143723
P(y|x) 0:79 loss=   4.809067726, acc=   0.156250000
P(x) | 0:80 f(x_p_d)=  26.351278305 f(x_q)=  24.337299347 d=   2.013978958
P(y|x) 0:80 loss=   4.542457104, acc=   0.132812500
P(x) | 0:81 f(x_p_d)=  25.619071960 f(x_q)=  41.050090790 d= -15.431018829
P(y|x) 0:81 loss=   4.733147144, acc=   0.117187500
P(x) | 0:82 f(x_p_d)=  25.035591125 f(x_q)=  27.269145966 d=  -2.233554840
P(y|x) 0:82 loss=   4.234812737, acc=   0.117187500
P(x) | 0:83 f(x_p_d)=  21.765697479 f(x_q)=  17.323425293 d=   4.442272186
P(y|x) 0:83 loss=   4.422071934, acc=   0.132812500
P(x) | 0:84 f(x_p_d)=  21.084774017 f(x_q)=  35.598651886 d= -14.513877869
P(y|x) 0:84 loss=   3.442604303, acc=   0.210937500
P(x) | 0:85 f(x_p_d)=  17.583564758 f(x_q)=  38.973800659 d= -21.390235901
P(y|x) 0:85 loss=   3.264856100, acc=   0.101562500
P(x) | 0:86 f(x_p_d)=  12.736454964 f(x_q)=  36.197784424 d= -23.461330414
P(y|x) 0:86 loss=   3.133070230, acc=   0.117187500
P(x) | 0:87 f(x_p_d)=  13.703530312 f(x_q)=  35.254047394 d= -21.550518036
P(y|x) 0:87 loss=   2.541155815, acc=   0.156250000
P(x) | 0:88 f(x_p_d)=  12.812562943 f(x_q)=  36.239913940 d= -23.427350998
P(y|x) 0:88 loss=   2.571379662, acc=   0.125000000
P(x) | 0:89 f(x_p_d)=  14.078788757 f(x_q)=  32.093307495 d= -18.014518738
P(y|x) 0:89 loss=   2.359984159, acc=   0.132812500
P(x) | 0:90 f(x_p_d)=  11.726363182 f(x_q)=  25.612245560 d= -13.885882378
P(y|x) 0:90 loss=   2.353206396, acc=   0.109375000
P(x) | 0:91 f(x_p_d)=  11.540158272 f(x_q)=  21.497802734 d=  -9.957644463
P(y|x) 0:91 loss=   2.229863644, acc=   0.164062500
P(x) | 0:92 f(x_p_d)=  11.758516312 f(x_q)=  16.768936157 d=  -5.010419846
P(y|x) 0:92 loss=   2.035662174, acc=   0.304687500
Epoch 0: Valid Loss 2.0423028469085693, Valid Acc 0.21728971600532532
Best Valid!: 0.21728971600532532
P(x) | 1:0 f(x_p_d)=  10.657894135 f(x_q)=  14.444334030 d=  -3.786439896
P(y|x) 1:93 loss=   1.949260354, acc=   0.281250000
P(x) | 1:1 f(x_p_d)=   9.806880951 f(x_q)=  11.566841125 d=  -1.759960175
P(y|x) 1:94 loss=   1.958565235, acc=   0.250000000
P(x) | 1:2 f(x_p_d)=   8.809974670 f(x_q)=  10.336875916 d=  -1.526901245
P(y|x) 1:95 loss=   2.003449678, acc=   0.265625000
P(x) | 1:3 f(x_p_d)=   8.226848602 f(x_q)=   8.296054840 d=  -0.069206238
P(y|x) 1:96 loss=   1.964315653, acc=   0.304687500
P(x) | 1:4 f(x_p_d)=   7.683880329 f(x_q)=   7.122511864 d=   0.561368465
P(y|x) 1:97 loss=   2.001843452, acc=   0.218750000
P(x) | 1:5 f(x_p_d)=   7.171148300 f(x_q)=   6.844170094 d=   0.326978207
P(y|x) 1:98 loss=   1.989223719, acc=   0.265625000
P(x) | 1:6 f(x_p_d)=   6.806257248 f(x_q)=   5.882270813 d=   0.923986435
P(y|x) 1:99 loss=   2.040712118, acc=   0.257812500
P(x) | 1:7 f(x_p_d)=   6.433197975 f(x_q)=   5.382270813 d=   1.050927162
P(y|x) 1:100 loss=   2.026103258, acc=   0.257812500
P(x) | 1:8 f(x_p_d)=   6.075537682 f(x_q)=   5.064606667 d=   1.010931015
P(y|x) 1:101 loss=   2.038806200, acc=   0.179687500
P(x) | 1:9 f(x_p_d)=   5.953806877 f(x_q)=   4.774084091 d=   1.179722786
